nospo_rougeL_P,nospo_rougeL_R,nospo_rougeL_F1,santa_rougeL_P,santa_rougeL_R,santa_rougeL_F1,spo_rougeL_P,spo_rougeL_R,spo_rougeL_F1,Textrank_rougeL_P,Textrank_rougeL_R,Textrank_rougeL_F1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.6666666666666666,1.0,0.8,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,1.0,1.0,1.0,0.75,1.0,0.8571428571428571
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,0.7692307692307693
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4285714285714285,1.0,0.6,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7142857142857143,0.8333333333333334,0.7692307692307692,0.7142857142857143,1.0,0.8333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4285714285714285,1.0,0.6
0.9090909090909092,1.0,0.9523809523809524,0.7272727272727273,1.0,0.8421052631578948,0.9090909090909092,1.0,0.9523809523809524,0.3636363636363636,1.0,0.5333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,0.8,1.0,0.888888888888889,0.4,1.0,0.5714285714285715
1.0,1.0,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909092,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
0.7777777777777778,1.0,0.8750000000000001,0.8888888888888888,1.0,0.9411764705882352,0.8888888888888888,1.0,0.9411764705882352,0.6666666666666666,1.0,0.8
1.0,1.0,1.0,0.9375,1.0,0.967741935483871,1.0,1.0,1.0,0.125,1.0,0.2222222222222222
1.0,1.0,1.0,0.8333333333333334,1.0,0.9090909090909092,1.0,1.0,1.0,0.6666666666666666,1.0,0.8
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333333,0.7142857142857143,1.0,0.8333333333333333,0.4285714285714285,1.0,0.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
