nospo_bert_P,nospo_bert_R,nospo_bert_F1
0.8391,0.9003,0.8686
0.8438,0.9093,0.8753
0.7203,0.9076,0.8032
0.8849,0.9402,0.9117
0.9072,0.9373,0.922
0.8454,0.9089,0.876
0.8485,0.9568,0.8994
0.8421,0.9113,0.8754
0.8765,0.9625,0.9175
0.8256,0.9108,0.8661
0.8589,0.9325,0.8942
0.8808,0.9378,0.9084
0.8882,0.9418,0.9142
0.8656,0.942,0.9022
0.8595,0.9296,0.8932
0.9219,0.9711,0.9458
0.9256,0.9698,0.9471
0.9724,0.9863,0.9793
0.8206,0.903,0.8598
0.8755,0.9555,0.9138
0.8676,0.9222,0.8941
0.8537,0.957,0.9024
0.8271,0.9274,0.8744
0.8708,0.9283,0.8986
0.8848,0.9483,0.9154
0.9241,0.9528,0.9383
0.8305,0.9613,0.8911
0.9154,0.9379,0.9265
0.9133,0.9656,0.9387
0.9374,0.9672,0.9521
0.8623,0.9332,0.8963
0.8922,0.9292,0.9103
0.9221,0.9817,0.951
0.9543,0.9724,0.9633
0.9321,0.9695,0.9504
0.8591,0.9222,0.8895
0.8356,0.9007,0.8669
0.8491,0.905,0.8761
0.919,0.953,0.9357
0.8578,0.9077,0.882
0.8929,0.9351,0.9136
0.8488,0.9567,0.8995
0.9188,0.9716,0.9445
0.9012,0.9515,0.9257
0.8238,0.9001,0.8603
0.8875,0.9596,0.9222
0.9237,0.967,0.9449
0.7611,0.8698,0.8119
0.8574,0.9314,0.8928
0.9204,0.9649,0.9421
0.8754,0.9426,0.9077
0.9369,0.9538,0.9453
0.8343,0.9316,0.8803
0.8697,0.9151,0.8918
0.9094,0.9456,0.9272
0.8281,0.9381,0.8797
0.828,0.9061,0.8653
0.9578,0.9773,0.9675
0.832,0.8223,0.8271
0.8099,0.9076,0.856
0.9535,0.9748,0.9641
0.7982,0.8766,0.8356
0.8675,0.9253,0.8954
0.8153,0.907,0.8587
0.8419,0.9266,0.8822
0.8108,0.8862,0.8468
0.8083,0.8683,0.8372
0.7874,0.8553,0.82
0.8111,0.8896,0.8485
0.8269,0.8916,0.858
0.7853,0.8642,0.8228
0.7499,0.8538,0.7985
0.8208,0.8891,0.8536
0.8486,0.9146,0.8803
0.7802,0.8715,0.8233
0.8131,0.8728,0.8419
0.8026,0.8766,0.838
0.8255,0.8977,0.8601
0.8745,0.9465,0.9091
0.894,0.945,0.9188
0.8233,0.8992,0.8596
0.8755,0.9429,0.908
0.8763,0.9311,0.9029
0.8475,0.9146,0.8798
0.8863,0.9385,0.9116
0.9137,0.9586,0.9356
0.7955,0.8773,0.8344
0.936,0.9736,0.9544
0.8102,0.8866,0.8467
0.8729,0.9187,0.8952
0.8914,0.9374,0.9138
0.8241,0.9077,0.8639
0.9018,0.9428,0.9218
0.9018,0.9558,0.928
0.8183,0.9151,0.864
0.7927,0.8895,0.8384
0.8337,0.9101,0.8702
0.7612,0.8893,0.8203
0.9433,0.9775,0.9601
0.8319,0.9387,0.8821
0.8641,0.9075,0.8853
0.8607,0.9123,0.8857
0.8537,0.9251,0.8879
0.7834,0.8864,0.8317
0.8251,0.8904,0.8565
0.8405,0.8993,0.869
0.8376,0.8931,0.8644
0.8712,0.9302,0.8997
0.911,0.9519,0.931
0.7656,0.8654,0.8124
0.776,0.9362,0.8486
0.8403,0.9074,0.8725
0.894,0.9479,0.9202
0.8235,0.8927,0.8567
0.8813,0.9511,0.9149
0.9118,0.9661,0.9382
0.8508,0.8991,0.8743
0.8158,0.8894,0.851
0.8959,0.9761,0.9343
0.9114,0.96,0.935
0.8766,0.9349,0.9048
0.828,0.9267,0.8746
0.8361,0.9319,0.8814
0.8452,0.9257,0.8836
0.8701,0.9102,0.8897
0.8674,0.9288,0.8971
0.9745,0.9887,0.9815
0.8227,0.8932,0.8565
0.9224,0.9454,0.9338
0.8907,0.9419,0.9156
0.9316,0.9699,0.9504
0.7863,0.8739,0.8278
0.9239,0.9709,0.9468
0.9086,0.9466,0.9272
0.8503,0.9172,0.8825
0.8596,0.9217,0.8896
0.8746,0.9268,0.9
0.9205,0.9575,0.9387
0.8636,0.9144,0.8883
0.8885,0.9416,0.9142
0.8299,0.8992,0.8631
0.813,0.9018,0.8551
0.8173,0.906,0.8594
0.8218,0.8984,0.8584
0.9158,0.9706,0.9424
0.9002,0.9356,0.9175
0.8604,0.9152,0.887
0.8965,0.9389,0.9172
0.8538,0.9147,0.8832
0.854,0.9095,0.8809
0.88,0.9216,0.9003
0.8202,0.9269,0.8703
0.8947,0.9289,0.9115
0.7979,0.9119,0.8511
0.8737,0.9181,0.8954
0.8242,0.9034,0.862
0.8254,0.9214,0.8707
0.7941,0.9132,0.8495
0.8447,0.9174,0.8795
0.787,0.8868,0.8339
0.8912,0.9397,0.9148
0.8855,0.9322,0.9082
0.9014,0.9476,0.9239
0.9042,0.9307,0.9173
0.8486,0.9048,0.8758
0.8262,0.9336,0.8766
0.8885,0.9303,0.9089
0.8679,0.9217,0.894
0.8832,0.9454,0.9132
0.8983,0.9472,0.9221
0.8695,0.9367,0.9018
0.9705,0.991,0.9806
0.8769,0.9417,0.9081
0.9065,0.9629,0.9339
0.842,0.9219,0.8802
0.857,0.9388,0.8961
0.8255,0.8829,0.8532
0.8917,0.9603,0.9247
0.8535,0.947,0.8978
0.8167,0.9404,0.8742
0.8458,0.9017,0.8729
0.9057,0.9424,0.9237
0.8768,0.9206,0.8982
0.8332,0.911,0.8704
0.8126,0.8937,0.8512
0.8249,0.9379,0.8778
0.9765,0.9825,0.9795
0.8386,0.8993,0.8679
0.9572,0.9726,0.9648
0.9217,0.9611,0.941
0.8838,0.9274,0.9051
0.8877,0.9707,0.9274
0.8414,0.8987,0.8691
0.8436,0.9235,0.8817
0.9281,0.9615,0.9445
