nospo_rougeL_P,nospo_rougeL_R,nospo_rougeL_f1
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
0,0,0
0.42857142857142855,1.0,0.6
1.0,1.0,1.0
1.0,1.0,1.0
0.9090909090909091,1.0,0.9523809523809523
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,0.888888888888889
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.7777777777777778,1.0,0.8750000000000001
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.7142857142857143,1.0,0.8333333333333333
0,0,0
1.0,1.0,1.0
0,0,0
0.2,1.0,0.33333333333333337
0,0,0
0.2,1.0,0.33333333333333337
0.7692307692307693,1.0,0.8695652173913044
0.25,1.0,0.4
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.4,1.0,0.5714285714285715
1.0,1.0,1.0
0,0,0
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0.2,1.0,0.33333333333333337
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9655172413793104,1.0,0.9824561403508771
1.0,1.0,1.0
0.7857142857142857,1.0,0.88
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.7272727272727273,1.0,0.8421052631578948
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.2857142857142857,1.0,0.4444444444444445
0.5333333333333333,0.8,0.64
1.0,1.0,1.0
0.7857142857142857,1.0,0.88
0.8,1.0,0.888888888888889
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.3333333333333333,0.7142857142857143,0.4545454545454545
1.0,1.0,1.0
1.0,1.0,1.0
0.5384615384615384,0.7777777777777778,0.6363636363636364
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
1.0,1.0,1.0
0.25,0.5,0.3333333333333333
0,0,0
0,0,0
0.8,0.8,0.8000000000000002
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0.5,1.0,0.6666666666666666
1.0,1.0,1.0
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
1.0,1.0,1.0
0.8333333333333334,0.8333333333333334,0.8333333333333334
1.0,1.0,1.0
0,0,0
0.35294117647058826,1.0,0.5217391304347826
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
0.7142857142857143,1.0,0.8333333333333333
1.0,1.0,1.0
0.8,1.0,0.888888888888889
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9230769230769231,1.0,0.9600000000000001
0.8571428571428571,1.0,0.923076923076923
0.8181818181818182,1.0,0.9
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8571428571428571,0.8571428571428571,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
0.42857142857142855,1.0,0.6
0,0,0
1.0,1.0,1.0
0,0,0
0.16666666666666666,1.0,0.2857142857142857
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0.8571428571428571,1.0,0.923076923076923
0,0,0
0,0,0
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.6,1.0,0.7499999999999999
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9714285714285714,0.9714285714285714,0.9714285714285714
1.0,1.0,1.0
1.0,1.0,1.0
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0.0,0.0,0.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0.0,0.0,0.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
