santa_bert_R,santa_bert_R,santa_bert_F1

0.8335,0.9033,0.867
0.7356,0.859,0.7925
0.862,0.9474,0.9027
0.8498,0.9426,0.8938
0.8242,0.8797,0.851
0.7895,0.8711,0.8283
0.8324,0.9339,0.8802
0.8634,0.9233,0.8924
0.9086,0.9716,0.939
0.8048,0.8947,0.8474
0.825,0.8982,0.86
0.8459,0.9296,0.8857
0.8174,0.9173,0.8644
0.7938,0.8943,0.8411
0.871,0.9394,0.904
0.8835,0.9584,0.9194
0.9087,0.955,0.9313
0.9128,0.9535,0.9327
0.7887,0.8782,0.831
0.8494,0.9415,0.8931
0.8134,0.8924,0.8511
0.8793,0.9616,0.9186
0.829,0.9391,0.8806
0.8703,0.9374,0.9026
0.844,0.9264,0.8833
0.8804,0.9377,0.9082
0.8346,0.961,0.8934
0.8576,0.9108,0.8834
0.9342,0.9645,0.9491
0.9118,0.9589,0.9348
0.8416,0.9388,0.8875
0.8344,0.8976,0.8648
0.9221,0.9817,0.951
0.9369,0.979,0.9575
0.9222,0.9623,0.9418
0.8588,0.9271,0.8916
0.84,0.9173,0.8769
0.839,0.9038,0.8702
0.8878,0.9425,0.9144
0.8554,0.9141,0.8838
0.8594,0.9154,0.8865
0.8906,0.9702,0.9287
0.9294,0.9735,0.9509
0.8895,0.9253,0.9071
0.8698,0.9182,0.8934
0.9317,0.9739,0.9524
0.9327,0.9747,0.9532
0.9178,0.9507,0.9339
0.8948,0.9496,0.9214
0.9204,0.9601,0.9398
0.8452,0.942,0.891
0.9002,0.927,0.9134
0.8518,0.9533,0.8997
0.8511,0.8982,0.8741
0.8971,0.94,0.918
0.9055,0.9688,0.9361
0.9557,0.9721,0.9639
0.889,0.9551,0.9209
0.7895,0.8674,0.8266
0.8967,0.9428,0.9192
0.9379,0.9794,0.9582
0.8176,0.8735,0.8446
0.7926,0.9024,0.844
0.7974,0.8861,0.8394
0.7569,0.8984,0.8216
0.7782,0.8832,0.8274
0.7772,0.8557,0.8146
0.8123,0.8699,0.8401
0.8332,0.9074,0.8687
0.8116,0.8982,0.8527
0.7829,0.8738,0.8259
0.7915,0.8723,0.8299
0.734,0.873,0.7975
0.8393,0.9146,0.8753
0.7721,0.8617,0.8145
0.8054,0.8734,0.838
0.8287,0.8981,0.862
0.7894,0.8943,0.8386
0.8916,0.9647,0.9267
0.8964,0.9464,0.9208
0.8147,0.9095,0.8595
0.8408,0.9332,0.8846
0.9202,0.9561,0.9378
0.794,0.8988,0.8432
0.8098,0.8953,0.8504
0.8832,0.9407,0.911
0.8215,0.9129,0.8648
0.8338,0.9446,0.8857
0.7877,0.8874,0.8346
0.9017,0.9366,0.9188
0.8194,0.898,0.8569
0.8068,0.9188,0.8591
0.835,0.9142,0.8728
0.8606,0.9243,0.8913
0.8315,0.9203,0.8736
0.7704,0.8829,0.8228
0.8402,0.9158,0.8764
0.7623,0.9256,0.836
0.8857,0.9476,0.9156
0.8427,0.9347,0.8863
0.8657,0.9082,0.8864
0.8432,0.932,0.8854
0.8576,0.9222,0.8887
0.7805,0.8824,0.8283
0.8069,0.8775,0.8407
0.801,0.8768,0.8372
0.7826,0.8652,0.8218
0.8507,0.9181,0.8831
0.7777,0.8965,0.8329
0.8197,0.8953,0.8559
0.8799,0.9656,0.9208
0.8372,0.9043,0.8695
0.92,0.9659,0.9424
0.8203,0.8975,0.8572
0.8842,0.9447,0.9134
0.8983,0.9418,0.9196
0.818,0.8845,0.85
0.7625,0.8718,0.8135
0.8672,0.9615,0.9119
0.9174,0.9618,0.9391
0.8561,0.9195,0.8867
0.8266,0.936,0.8779
0.8162,0.9358,0.8719
0.8785,0.9517,0.9137
0.8377,0.8848,0.8606
0.8188,0.8975,0.8564
0.9478,0.9733,0.9604
0.8595,0.9222,0.8897
0.9091,0.956,0.932
0.817,0.9032,0.8579
0.9597,0.9757,0.9677
0.8076,0.8882,0.846
0.9284,0.9631,0.9454
0.8849,0.9438,0.9134
0.8009,0.9141,0.8538
0.8328,0.905,0.8674
0.8286,0.9031,0.8643
0.7713,0.8722,0.8186
0.7849,0.8596,0.8205
0.8207,0.8946,0.8561
0.7919,0.8829,0.8349
0.7686,0.8851,0.8227
0.7933,0.8889,0.8384
0.7828,0.8797,0.8285
0.8798,0.9479,0.9126
0.8385,0.8884,0.8627
0.8116,0.8809,0.8448
0.8716,0.9273,0.8986
0.8307,0.9119,0.8694
0.829,0.8955,0.861
0.7915,0.8914,0.8384
0.8449,0.94,0.8899
0.8955,0.9467,0.9204
0.8554,0.9294,0.8908
0.8791,0.9191,0.8987
0.8436,0.9046,0.873
0.8638,0.9468,0.9034
0.8784,0.9315,0.9042
0.848,0.9215,0.8832
0.7927,0.889,0.8381
0.8405,0.9287,0.8824
0.8826,0.9343,0.9077
0.8695,0.916,0.8922
0.8559,0.9008,0.8778
0.8614,0.9132,0.8866
0.8886,0.9562,0.9211
0.8893,0.9442,0.916
0.818,0.9017,0.8578
0.9044,0.9582,0.9305
0.812,0.8811,0.8452
0.8653,0.9319,0.8974
0.9705,0.991,0.9806
0.9317,0.9667,0.9489
0.7966,0.9179,0.853
0.9141,0.9624,0.9377
0.8235,0.9007,0.8604
0.8737,0.9295,0.9008
0.8814,0.9558,0.9171
0.8176,0.9346,0.8722
0.8154,0.9325,0.8701
0.8429,0.9116,0.8759
0.8356,0.896,0.8648
0.8526,0.9074,0.8791
0.7991,0.8981,0.8457
0.8048,0.8969,0.8484
0.8413,0.9435,0.8895
0.9244,0.9776,0.9502
0.8427,0.9148,0.8773
0.9564,0.9682,0.9623
0.8807,0.928,0.9037
0.8278,0.8961,0.8606
0.8069,0.9036,0.8525
0.8332,0.8969,0.8639
0.8916,0.945,0.9175
0.8823,0.9483,0.9141
0.8221,0.8852,0.8525
0.8832,0.9411,0.9113
0.8815,0.9467,0.913
0.8909,0.9548,0.9218
0.8552,0.923,0.8878
0.8593,0.9081,0.883
0.8567,0.9344,0.8938
0.8672,0.9301,0.8975
0.8889,0.9266,0.9074
0.8677,0.9185,0.8923
0.8227,0.8766,0.8488
0.8228,0.8858,0.8531
0.8694,0.9395,0.9031
0.8918,0.9354,0.9131
0.8586,0.9196,0.888
0.8049,0.9014,0.8504
0.8417,0.9306,0.884
0.9282,0.9621,0.9448
0.9064,0.9535,0.9293
0.9017,0.9511,0.9257
0.8564,0.9222,0.8881
0.8239,0.8856,0.8536
0.9305,0.9626,0.9463
0.8638,0.9261,0.8939
0.8439,0.9069,0.8743
0.8484,0.9199,0.8827
0.8751,0.9316,0.9024
0.8529,0.9151,0.8829
0.8655,0.9417,0.902
0.8904,0.9403,0.9147
0.8793,0.9345,0.906
0.8271,0.8926,0.8586
0.8571,0.9098,0.8827
0.9385,0.9783,0.958
0.851,0.9209,0.8846
0.8776,0.931,0.9035
0.8473,0.9238,0.8839
0.8976,0.9345,0.9157
0.8764,0.9294,0.9021
0.8085,0.8878,0.8463
0.7955,0.8845,0.8376
0.9221,0.9673,0.9442
0.8967,0.9494,0.9223
0.8757,0.9377,0.9056
0.8729,0.9279,0.8996
0.8566,0.9151,0.8849
0.9359,0.9702,0.9527
0.8535,0.9233,0.887
0.8422,0.9097,0.8747
0.8402,0.9441,0.8891
0.8331,0.8951,0.863
0.8303,0.8982,0.8629
0.8251,0.905,0.8632
0.8444,0.9476,0.893
0.8967,0.9414,0.9185
0.8152,0.8938,0.8527
0.9055,0.9464,0.9255
0.936,0.9616,0.9486
0.8528,0.9123,0.8815
0.8645,0.9229,0.8927
0.8407,0.9142,0.8759
0.7903,0.8806,0.833
0.8702,0.9522,0.9094
0.8497,0.9237,0.8851
0.8435,0.9141,0.8774
0.8356,0.9065,0.8696
0.8503,0.9371,0.8916
0.9011,0.9639,0.9314
0.8979,0.9554,0.9258
0.8143,0.9022,0.856
0.8573,0.9117,0.8836
0.9366,0.9646,0.9504
0.9042,0.9637,0.933
0.8283,0.914,0.869
0.7961,0.8746,0.8335
0.833,0.8904,0.8607
0.7546,0.8985,0.8203
0.8415,0.9067,0.8728
0.8869,0.9302,0.908
0.8298,0.9109,0.8684
0.8425,0.8882,0.8647
0.8177,0.9141,0.8632
0.9,0.9499,0.9243
0.8654,0.91,0.8871
0.9022,0.9448,0.923
0.8381,0.9077,0.8715
0.8945,0.9474,0.9201
0.877,0.9241,0.9
0.8604,0.9122,0.8855
0.8342,0.9185,0.8743
0.864,0.9559,0.9076
0.8917,0.9342,0.9124
0.7998,0.8759,0.8361
0.7785,0.8586,0.8166
0.8334,0.9139,0.8718
0.8483,0.9519,0.8971
0.8179,0.8874,0.8512
0.8522,0.9237,0.8865
0.9041,0.968,0.935
0.8824,0.9221,0.9018
0.7536,0.8831,0.8132
0.8616,0.9121,0.8862
0.8614,0.9497,0.9034
0.8146,0.8954,0.8531
0.9066,0.9441,0.925
0.8034,0.9238,0.8594
0.8462,0.9117,0.8777
0.811,0.9006,0.8535
0.8846,0.9386,0.9108
0.8184,0.881,0.8485
0.7842,0.8957,0.8363
0.8643,0.9185,0.8906
0.9021,0.9588,0.9296
0.8357,0.9026,0.8679
0.9159,0.9564,0.9357
0.8145,0.8927,0.8518
0.8534,0.9225,0.8866
0.8935,0.9441,0.9181
0.9103,0.9449,0.9273
0.8238,0.93,0.8737
0.9228,0.9748,0.9481
0.8327,0.9144,0.8717
0.9493,0.9671,0.9581
0.8253,0.8973,0.8598
0.8548,0.9106,0.8818
0.807,0.8665,0.8357
0.8173,0.9125,0.8622
0.8396,0.8896,0.8639
0.8992,0.9652,0.931
0.86,0.9205,0.8893
0.8629,0.9167,0.889
0.8908,0.9409,0.9152
0.8555,0.9019,0.8781
0.809,0.8789,0.8425
0.8833,0.9364,0.9091
