santa_rougeL_P,santa_rougeL_R,santa_rougeL_F1
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0.6666666666666666,1.0,0.8
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
0,0,0
0.7142857142857143,0.8333333333333334,0.7692307692307692
1.0,1.0,1.0
1.0,1.0,1.0
0.7272727272727273,1.0,0.8421052631578948
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,0.888888888888889
0.5,1.0,0.6666666666666666
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
0.9375,1.0,0.967741935483871
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0.7142857142857143,1.0,0.8333333333333333
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0.2,1.0,0.33333333333333337
0.7692307692307693,1.0,0.8695652173913044
0.25,1.0,0.4
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.4,1.0,0.5714285714285715
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.6666666666666666,1.0,0.8
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9545454545454546,1.0,0.9767441860465117
0.8571428571428571,1.0,0.923076923076923
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.8181818181818182,1.0,0.9
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.2857142857142857,1.0,0.4444444444444445
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
0.5714285714285714,1.0,0.7272727272727273
0.9,1.0,0.9473684210526316
0.6666666666666666,1.0,0.8
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
0.42857142857142855,0.3333333333333333,0.375
0.875,1.0,0.9333333333333333
0.8,1.0,0.888888888888889
0.5333333333333333,0.8888888888888888,0.6666666666666667
1.0,1.0,1.0
1.0,1.0,1.0
0.8461538461538461,1.0,0.9166666666666666
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
0,0,0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
0.7894736842105263,1.0,0.8823529411764706
0,0,0
0.25,1.0,0.4
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.3333333333333333,1.0,0.5
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.4117647058823529,1.0,0.5833333333333334
1.0,1.0,1.0
1.0,1.0,1.0
0.5,1.0,0.6666666666666666
0.7857142857142857,1.0,0.88
1.0,1.0,1.0
0.8,1.0,0.888888888888889
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.8461538461538461,0.9166666666666666,0.8799999999999999
1.0,1.0,1.0
0.5454545454545454,1.0,0.7058823529411764
1.0,1.0,1.0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.7647058823529411,1.0,0.8666666666666666
0,0,0
1.0,1.0,1.0
0.5263157894736842,1.0,0.6896551724137931
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.42857142857142855,1.0,0.6
0,0,0
1.0,1.0,1.0
0,0,0
0.16666666666666666,1.0,0.2857142857142857
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0.7857142857142857,1.0,0.88
0,0,0
0,0,0
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8888888888888888,1.0,0.9411764705882353
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
0,0,0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.7272727272727273,0.7272727272727273,0.7272727272727273
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.8888888888888888,1.0,0.9411764705882353
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9714285714285714,0.9714285714285714,0.9714285714285714
0.9333333333333333,1.0,0.9655172413793104
1.0,1.0,1.0
0.5,1.0,0.6666666666666666
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.9333333333333333,1.0,0.9655172413793104
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
0.8571428571428571,1.0,0.923076923076923
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.6,1.0,0.7499999999999999
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0.0,0.0,0.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0,0,0
0.8333333333333334,1.0,0.9090909090909091
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0.5,1.0,0.6666666666666666
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.6666666666666666,1.0,0.8
0.8461538461538461,1.0,0.9166666666666666
0.9285714285714286,1.0,0.962962962962963
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.9333333333333333,1.0,0.9655172413793104
0,0,0
0.7,1.0,0.8235294117647058
1.0,1.0,1.0
0,0,0
0,0,0
0.9,1.0,0.9473684210526316
0.625,1.0,0.7692307692307693
1.0,1.0,1.0
0.5,1.0,0.6666666666666666
0.3333333333333333,1.0,0.5
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0.8571428571428571,1.0,0.923076923076923
1.0,1.0,1.0
0,0,0
0.14285714285714285,1.0,0.25
1.0,1.0,1.0
1.0,1.0,1.0
0.75,1.0,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.5,1.0,0.6666666666666666
0.6875,0.9166666666666666,0.7857142857142857
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.4,1.0,0.5714285714285715
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8095238095238095,0.8947368421052632,0.8500000000000001
0.8571428571428571,0.8571428571428571,0.8571428571428571
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,0.888888888888889
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.45454545454545453,1.0,0.625
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
0.8333333333333334,1.0,0.9090909090909091
0,0,0
0.5384615384615384,1.0,0.7000000000000001
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8095238095238095,1.0,0.8947368421052632
0.5,1.0,0.6666666666666666
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8461538461538461,1.0,0.9166666666666666
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
0.875,1.0,0.9333333333333333
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.7333333333333333,1.0,0.846153846153846
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.7222222222222222,1.0,0.8387096774193548
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.7777777777777778,1.0,0.8750000000000001
0,0,0
0,0,0
0,0,0
0,0,0
0.9375,1.0,0.967741935483871
0.9666666666666667,1.0,0.983050847457627
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.7,1.0,0.8235294117647058
0.75,1.0,0.8571428571428571
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0.9354838709677419,1.0,0.9666666666666666
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,0.9545454545454546,0.9767441860465117
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
0,0,0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
0.4444444444444444,1.0,0.6153846153846153
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8,1.0,0.888888888888889
0,0,0
0.5555555555555556,0.8333333333333334,0.6666666666666667
0.6666666666666666,1.0,0.8
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
0.6,1.0,0.7499999999999999
0.875,1.0,0.9333333333333333
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0.8333333333333334,1.0,0.9090909090909091
0.8888888888888888,1.0,0.9411764705882353
0.8333333333333334,1.0,0.9090909090909091
0.75,1.0,0.8571428571428571
0.8,1.0,0.888888888888889
0.8,1.0,0.888888888888889
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
1.0,1.0,1.0
0,0,0
