spo_bert_P,spo_bert_R,spo_bert_F1
0.9039,0.958,0.9302
0.9065,0.9476,0.9266
0.9495,0.9745,0.9619
0.9224,0.9605,0.9411
0.9367,0.955,0.9457
0.8447,0.9077,0.8751
0.831,0.9269,0.8764
0.8987,0.9531,0.9251
0.9657,0.9846,0.975
0.92,0.9591,0.9391
0.9179,0.9547,0.936
0.9317,0.958,0.9447
0.8853,0.9434,0.9134
0.9565,0.9763,0.9663
0.957,0.9736,0.9652
0.9491,0.9692,0.9591
0.933,0.968,0.9502
0.9741,0.9848,0.9794
0.9267,0.9498,0.9381
0.9317,0.9765,0.9536
0.9444,0.9679,0.956
0.9488,0.9847,0.9664
0.8811,0.9601,0.9189
0.9154,0.9566,0.9356
0.9391,0.977,0.9577
0.9737,0.9795,0.9766
0.9398,0.9886,0.9636
0.8976,0.93,0.9135
0.9701,0.988,0.979
0.9402,0.9764,0.958
0.9073,0.945,0.9257
0.8877,0.9245,0.9058
0.901,0.9791,0.9385
0.9784,0.9841,0.9812
0.9353,0.9646,0.9497
0.9157,0.9539,0.9344
0.9063,0.9542,0.9296
0.916,0.9523,0.9338
0.9449,0.968,0.9563
0.9164,0.9554,0.9355
0.9305,0.957,0.9436
0.9175,0.9783,0.947
0.8991,0.9618,0.9294
0.899,0.9462,0.922
0.9385,0.9613,0.9498
0.9429,0.9792,0.9607
0.974,0.9906,0.9822
0.8041,0.897,0.848
0.926,0.958,0.9417
0.9792,0.9857,0.9824
0.907,0.9623,0.9338
0.9325,0.9554,0.9438
0.8518,0.9448,0.8959
0.9207,0.9399,0.9302
0.9498,0.9718,0.9606
0.9301,0.9757,0.9524
0.9012,0.9385,0.9195
0.9699,0.9651,0.9675
0.8363,0.8204,0.8283
0.8991,0.959,0.9281
0.9379,0.9794,0.9582
0.8706,0.9161,0.8928
0.9496,0.9733,0.9613
0.8547,0.9318,0.8915
0.8534,0.9325,0.8912
0.8572,0.9145,0.8849
0.8305,0.8802,0.8546
0.8634,0.8806,0.8719
0.8542,0.9283,0.8897
0.901,0.961,0.93
0.8382,0.9066,0.8711
0.8012,0.8872,0.842
0.8946,0.9359,0.9148
0.8798,0.9402,0.909
0.8186,0.8904,0.853
0.9381,0.9491,0.9436
0.8936,0.931,0.9119
0.8378,0.8987,0.8672
0.924,0.9773,0.9499
0.9672,0.985,0.976
0.9398,0.9661,0.9528
0.9073,0.9509,0.9286
0.9172,0.959,0.9376
0.9318,0.9639,0.9476
0.8967,0.9422,0.9189
0.922,0.9578,0.9395
0.8061,0.8981,0.8496
0.9404,0.9708,0.9553
0.8413,0.904,0.8716
0.9378,0.9618,0.9496
0.9412,0.9717,0.9562
0.871,0.9389,0.9037
0.8855,0.9541,0.9185
0.9292,0.9736,0.9509
0.9558,0.9747,0.9652
0.8342,0.8996,0.8657
0.8818,0.9375,0.9088
0.7677,0.9178,0.8361
0.9373,0.9701,0.9534
0.8267,0.9267,0.8738
0.9026,0.9248,0.9135
0.8857,0.9249,0.9048
0.8654,0.9308,0.8969
0.8359,0.9118,0.8722
0.8867,0.9303,0.908
0.8885,0.9314,0.9094
0.8799,0.9211,0.9
0.8918,0.9519,0.9209
0.9059,0.948,0.9265
0.8797,0.9276,0.903
0.9829,0.9928,0.9879
0.8819,0.9338,0.9071
0.9423,0.9731,0.9574
0.9429,0.9691,0.9558
0.9154,0.961,0.9376
0.9406,0.9756,0.9578
0.8922,0.9254,0.9085
0.8877,0.9373,0.9118
0.9059,0.967,0.9355
0.934,0.9715,0.9524
0.8865,0.9402,0.9126
0.8353,0.9473,0.8878
0.8767,0.9566,0.9149
0.9268,0.9683,0.9471
0.9211,0.9506,0.9356
0.9461,0.9698,0.9578
0.9584,0.9773,0.9678
0.8733,0.9229,0.8974
0.9747,0.9884,0.9815
0.8459,0.9299,0.886
0.944,0.9724,0.958
0.7944,0.8723,0.8315
0.9333,0.9664,0.9496
0.9488,0.9714,0.9599
0.8935,0.9416,0.9169
0.8434,0.9214,0.8807
0.8806,0.9383,0.9085
0.9135,0.9544,0.9335
0.8921,0.9268,0.9091
0.9103,0.9545,0.9319
0.862,0.9174,0.8889
0.8844,0.9363,0.9096
0.8458,0.928,0.885
0.8684,0.9268,0.8966
0.9377,0.9742,0.9556
0.9071,0.9399,0.9232
0.8728,0.9189,0.8953
0.9495,0.9729,0.9611
0.891,0.9361,0.913
0.8722,0.9233,0.897
0.9306,0.9573,0.9437
0.8622,0.948,0.9031
0.9114,0.963,0.9365
0.8584,0.9514,0.9025
0.905,0.9412,0.9228
0.8872,0.9398,0.9127
0.9138,0.9642,0.9383
0.899,0.9489,0.9232
0.8431,0.9212,0.8804
0.8515,0.9037,0.8768
0.9042,0.948,0.9256
0.9358,0.9654,0.9504
0.886,0.9332,0.909
0.9242,0.9591,0.9413
0.9433,0.964,0.9535
0.8978,0.9584,0.9271
0.8831,0.9448,0.9129
0.8657,0.9238,0.8938
0.9076,0.9616,0.9338
0.9396,0.9717,0.9553
0.9293,0.9576,0.9432
0.9932,0.9972,0.9952
0.9235,0.9521,0.9376
0.9012,0.955,0.9273
0.9585,0.9838,0.971
0.9222,0.965,0.9431
0.8627,0.9105,0.8859
0.9468,0.9771,0.9617
0.8691,0.9573,0.9111
0.8662,0.9542,0.9081
0.9115,0.9491,0.9299
0.8803,0.9321,0.9055
0.9097,0.9399,0.9245
0.8631,0.924,0.8925
0.8861,0.9424,0.9134
0.9171,0.9715,0.9435
0.9644,0.9724,0.9684
0.8627,0.9154,0.8882
0.9913,0.9931,0.9922
0.8858,0.9325,0.9086
0.9231,0.9535,0.9381
0.9202,0.9769,0.9477
0.8792,0.9248,0.9014
0.9552,0.9802,0.9675
0.8126,0.9532,0.8773
0.9094,0.9541,0.9312
0.9257,0.956,0.9406
0.9106,0.9538,0.9317
0.9431,0.9744,0.9585
0.9312,0.9599,0.9453
0.9554,0.9663,0.9608
0.8976,0.9586,0.9271
0.8952,0.9483,0.921
0.9104,0.9515,0.9305
0.948,0.9671,0.9575
0.9238,0.9544,0.9389
0.84,0.8944,0.8663
0.8522,0.9307,0.8898
0.9486,0.9726,0.9604
0.8551,0.9236,0.888
0.8344,0.8919,0.8622
0.8716,0.9429,0.9059
0.9781,0.9877,0.9829
0.9318,0.9653,0.9482
0.916,0.9588,0.9369
0.9452,0.9733,0.9591
0.8779,0.9261,0.9014
0.912,0.9356,0.9236
0.9222,0.9533,0.9375
0.8707,0.912,0.8909
0.9052,0.9522,0.9281
0.9495,0.9776,0.9633
0.8866,0.9368,0.911
0.9174,0.9536,0.9351
0.9546,0.9735,0.964
0.942,0.9681,0.9549
0.842,0.895,0.8677
0.9426,0.9666,0.9545
0.9447,0.9681,0.9563
0.898,0.95,0.9232
0.9637,0.9809,0.9722
0.8363,0.9166,0.8746
0.8879,0.9378,0.9121
0.9301,0.9631,0.9463
0.8655,0.9296,0.8964
0.8657,0.9255,0.8946
0.9559,0.9792,0.9674
0.9542,0.9721,0.963
0.9438,0.9766,0.9599
0.9306,0.959,0.9446
0.8698,0.9342,0.9008
0.9279,0.9607,0.944
0.9155,0.9497,0.9323
0.8648,0.9178,0.8905
0.8394,0.9144,0.8753
0.8869,0.932,0.9089
0.8435,0.9105,0.8757
0.8892,0.9379,0.9129
0.8924,0.9534,0.9219
0.9221,0.9532,0.9374
0.8775,0.9236,0.8999
0.9055,0.9464,0.9255
0.9492,0.9681,0.9585
0.9096,0.9431,0.9261
0.8911,0.9454,0.9174
0.923,0.9613,0.9418
0.8609,0.928,0.8932
0.8923,0.9592,0.9246
0.8675,0.9339,0.8994
0.8916,0.9395,0.9149
0.9094,0.9467,0.9277
0.9284,0.9619,0.9449
0.935,0.9719,0.9531
0.9192,0.9599,0.9391
0.8882,0.9443,0.9154
0.9014,0.9405,0.9205
0.8931,0.9278,0.9101
0.9118,0.9566,0.9337
0.918,0.9593,0.9382
0.8483,0.909,0.8776
0.9728,0.98,0.9764
0.9178,0.9479,0.9326
0.9279,0.9574,0.9424
0.922,0.9525,0.937
0.906,0.9403,0.9228
0.9163,0.9335,0.9248
0.8864,0.9472,0.9158
0.9386,0.9636,0.951
0.9414,0.9685,0.9548
0.9205,0.9542,0.937
0.8967,0.9464,0.9209
0.9338,0.9681,0.9507
0.9158,0.9592,0.937
0.8794,0.9247,0.9015
0.8861,0.9417,0.913
0.9132,0.9759,0.9435
0.9024,0.9447,0.9231
0.8607,0.9094,0.8844
0.8819,0.9306,0.9056
0.9535,0.9738,0.9635
0.8779,0.9598,0.9171
0.8493,0.8958,0.8719
0.8347,0.8906,0.8617
0.9095,0.9591,0.9337
0.9276,0.9552,0.9412
0.8839,0.9449,0.9134
0.8968,0.9272,0.9118
0.8946,0.9565,0.9245
0.9162,0.9478,0.9318
0.9202,0.9541,0.9368
0.9304,0.9704,0.95
0.8836,0.9403,0.9111
0.9098,0.9562,0.9324
0.9098,0.959,0.9338
0.8612,0.9131,0.8864
0.9009,0.9473,0.9235
0.8845,0.9381,0.9105
0.9314,0.9681,0.9494
0.9074,0.9434,0.9251
0.89,0.9324,0.9107
0.8872,0.9405,0.9131
0.874,0.9214,0.8971
0.9231,0.9562,0.9393
0.946,0.971,0.9584
