Textrank_berts_P,Textrank_berts_R,Textrank_berts_F1
0.7661,0.9015,0.8283
0.6702,0.8806,0.7611
0.9972,0.9985,0.9978
0.9917,0.9939,0.9928
0.8326,0.9694,0.8958
0.7272,0.9461,0.8223
0.8971,0.9728,0.9335
0.8532,0.9671,0.9066
0.9931,0.9939,0.9935
0.9308,0.9717,0.9508
0.898,0.9567,0.9264
0.8403,0.9258,0.881
0.7932,0.9495,0.8643
0.8305,0.9225,0.8741
0.7841,0.8969,0.8367
0.8254,0.917,0.8688
0.8805,0.9194,0.8996
0.8102,0.9461,0.8729
0.8716,0.9245,0.8973
0.8284,0.9465,0.8835
0.7699,0.9089,0.8337
0.8924,0.9788,0.9336
0.8777,0.9684,0.9208
0.7161,0.909,0.8011
0.8831,0.941,0.9111
0.8713,0.9474,0.9078
0.9957,0.9973,0.9965
0.6809,0.8854,0.7698
0.8611,0.9414,0.8994
0.9261,0.9311,0.9286
0.996,0.9977,0.9969
0.7587,0.9224,0.8325
0.7693,0.8976,0.8285
0.6476,0.8825,0.747
0.9265,0.9306,0.9285
0.744,0.912,0.8195
0.8541,0.9713,0.909
0.8256,0.9118,0.8665
0.8936,0.9587,0.925
0.8519,0.9432,0.8952
0.8886,0.9596,0.9228
0.9951,0.997,0.996
0.9081,0.9779,0.9417
0.8112,0.9107,0.8581
0.986,0.9879,0.987
0.917,0.9207,0.9188
0.9949,0.9957,0.9953
0.8536,0.9679,0.9072
0.9965,0.998,0.9973
0.8891,0.9198,0.9042
0.8446,0.9113,0.8767
0.981,0.9826,0.9818
0.9961,0.9977,0.9969
0.8007,0.8989,0.847
0.8197,0.912,0.8634
0.9963,0.998,0.9971
0.9062,0.9374,0.9215
0.9873,0.9907,0.989
0.9118,0.9126,0.9122
0.8297,0.9734,0.8958
0.9931,0.9954,0.9942
0.8015,0.8912,0.844
0.8993,0.8993,0.8993
0.8841,0.9354,0.909
0.8428,0.8817,0.8618
0.8378,0.9276,0.8804
0.801,0.9565,0.8719
0.7733,0.8492,0.8095
0.8197,0.8754,0.8466
0.8635,0.9805,0.9183
0.7342,0.9042,0.8104
0.788,0.9225,0.8499
0.8385,0.8938,0.8653
0.7954,0.9305,0.8576
0.8298,0.9048,0.8657
0.7595,0.898,0.823
0.7786,0.9035,0.8364
0.9283,0.9286,0.9284
0.9285,0.9312,0.9298
0.877,0.9516,0.9127
0.8493,0.9143,0.8806
0.8733,0.9152,0.8937
0.7528,0.9179,0.8272
0.998,0.9988,0.9984
0.8112,0.9171,0.8609
0.8436,0.9554,0.896
0.8354,0.9159,0.8738
0.8689,0.9146,0.8912
0.8481,0.9087,0.8774
0.7803,0.9335,0.85
0.8091,0.9206,0.8612
0.8116,0.9212,0.8629
0.8076,0.9196,0.8599
0.8093,0.923,0.8624
0.7939,0.9529,0.8662
0.9062,0.9055,0.9059
0.9339,0.9875,0.9599
0.9965,0.9976,0.9971
0.8095,0.9361,0.8682
0.9365,0.9379,0.9372
0.817,0.9345,0.8718
0.8648,0.9499,0.9054
0.7686,0.9525,0.8507
0.8273,0.902,0.863
0.7594,0.903,0.825
0.8385,0.9073,0.8716
0.8155,0.944,0.8751
0.8215,0.9144,0.8655
0.9086,0.9323,0.9203
0.8364,0.9512,0.8901
0.9272,0.9797,0.9527
0.991,0.9931,0.9921
0.9913,0.9936,0.9925
0.9392,0.9901,0.964
0.9068,0.9463,0.9262
0.7608,0.8809,0.8165
0.776,0.9057,0.8358
0.7614,0.9229,0.8344
0.9397,0.9458,0.9428
0.8975,0.9209,0.9091
0.8579,0.9294,0.8923
0.9271,0.932,0.9296
0.9976,0.9988,0.9982
0.9258,0.9273,0.9266
0.7505,0.8936,0.8158
0.7959,0.9134,0.8506
0.8644,0.9423,0.9017
0.8102,0.8979,0.8518
0.9683,0.9732,0.9707
0.8687,0.9252,0.896
0.6555,0.8551,0.7421
0.8066,0.9402,0.8683
